customerid,gender,seniorcitizen,partner,dependents,tenure,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,churn_label,segmento_antiguedad,score_servicios,ratio_cargo_antiguedad,segmento_valor,flag_contrato_mensual,flag_pago_riesgo,cltv_proyectado_24m,prob_churn,pred_churn,nivel_riesgo
1680-VDCWW,Male,0,Yes,No,12,No,One year,No,Bank transfer (automatic),19.8,202.25,0,No,Nuevo (0-12m),0,1.65,Bajo,0,0,475.2,0.1494790453317873,0,Bajo
1066-JKSGK,Male,0,No,No,1,No,Month-to-month,No,Mailed check,20.15,20.15,1,Yes,Nuevo (0-12m),0,20.15,Bajo,1,0,483.6,0.6819265653157178,1,Medio
3638-WEABW,Female,0,Yes,No,58,DSL,Two year,Yes,Credit card (automatic),59.9,3505.1,0,No,Maduro (36m+),2,1.03,Alto,0,0,1437.6,0.053776120484169604,0,Bajo
6322-HRPFA,Male,0,Yes,Yes,49,DSL,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,No,Maduro (36m+),3,1.22,Alto,1,0,1430.4,0.2549528925466037,0,Bajo
6865-JZNKO,Female,0,No,No,30,DSL,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,No,En desarrollo (13-36m),2,1.84,Medio,1,0,1327.2,0.27149879885426953,0,Bajo
6467-CHFZW,Male,0,Yes,Yes,47,Fiber optic,Month-to-month,Yes,Electronic check,99.35,4749.15,1,Yes,Maduro (36m+),3,2.11,Alto,1,1,2384.4,0.6805459427304704,1,Medio
8665-UTDHZ,Male,0,Yes,Yes,1,DSL,Month-to-month,No,Electronic check,30.2,30.2,1,Yes,Nuevo (0-12m),1,30.2,Bajo,1,1,724.8,0.7516353812313568,1,Alto
5248-YGIJN,Male,0,Yes,No,72,DSL,Two year,Yes,Credit card (automatic),90.25,6369.45,0,No,Maduro (36m+),6,1.25,Premium,0,0,2166.0,0.016326780721776072,0,Bajo
8773-HHUOZ,Female,0,No,Yes,17,DSL,Month-to-month,Yes,Mailed check,64.7,1093.1,1,Yes,En desarrollo (13-36m),2,3.81,Medio,1,0,1552.8,0.48415710635343373,0,Medio
3841-NFECX,Female,1,Yes,No,71,Fiber optic,Two year,Yes,Credit card (automatic),96.35,6766.95,0,No,Maduro (36m+),4,1.36,Premium,0,0,2312.4,0.08315277971933696,0,Bajo
4929-XIHVW,Male,1,Yes,No,2,Fiber optic,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,No,Nuevo (0-12m),3,47.75,Bajo,1,0,2292.0,0.8179643675837569,1,Alto
6827-IEAUQ,Female,0,Yes,Yes,27,DSL,One year,No,Mailed check,66.15,1874.45,0,No,En desarrollo (13-36m),4,2.45,Medio,0,0,1587.6,0.12040805922549865,0,Bajo
7310-EGVHZ,Male,0,No,No,1,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,No,Nuevo (0-12m),0,20.2,Bajo,1,0,484.8,0.4693329557886983,0,Medio
3413-BMNZE,Male,1,No,No,1,DSL,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,No,Nuevo (0-12m),0,45.25,Bajo,1,0,1086.0,0.6583488356999085,1,Medio
6234-RAAPL,Female,0,Yes,Yes,72,Fiber optic,Two year,No,Bank transfer (automatic),99.9,7251.7,0,No,Maduro (36m+),4,1.39,Premium,0,0,2397.6,0.05727005111434531,0,Bajo
6047-YHPVI,Male,0,No,No,5,Fiber optic,Month-to-month,Yes,Electronic check,69.7,316.9,1,Yes,Nuevo (0-12m),0,13.94,Bajo,1,1,1672.8,0.794928957920131,1,Alto
6572-ADKRS,Female,0,No,No,46,Fiber optic,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,No,Maduro (36m+),1,1.63,Alto,1,0,1795.2,0.44270000371130613,0,Medio
5380-WJKOV,Male,0,No,No,34,Fiber optic,Month-to-month,Yes,Electronic check,106.35,3549.25,1,Yes,En desarrollo (13-36m),4,3.13,Alto,1,1,2552.4,0.6586582348119429,1,Medio
8168-UQWWF,Female,0,No,No,11,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,Yes,Nuevo (0-12m),3,8.9,Medio,1,0,2348.4,0.9018066918974023,1,Alto
8865-TNMNX,Male,0,Yes,Yes,10,DSL,One year,No,Mailed check,49.55,475.7,0,No,Nuevo (0-12m),1,4.96,Bajo,0,0,1189.2,0.18727995492000268,0,Bajo
9489-DEDVP,Female,0,Yes,Yes,70,DSL,Two year,Yes,Credit card (automatic),69.2,4872.35,0,No,Maduro (36m+),3,0.99,Alto,0,0,1660.8,0.06947282723190519,0,Bajo
9867-JCZSP,Female,0,Yes,Yes,17,No,One year,No,Mailed check,20.75,418.25,0,No,En desarrollo (13-36m),0,1.22,Bajo,0,0,498.0,0.056188375425870525,0,Bajo
4671-VJLCL,Female,0,No,No,63,DSL,Two year,Yes,Credit card (automatic),79.85,4861.45,0,No,Maduro (36m+),5,1.27,Alto,0,0,1916.4,0.05963238970293355,0,Bajo
4080-IIARD,Female,0,Yes,No,13,DSL,Month-to-month,Yes,Electronic check,76.2,981.45,0,No,En desarrollo (13-36m),4,5.86,Medio,1,1,1828.8,0.4099278636314302,0,Medio
3714-NTNFO,Female,0,No,No,49,Fiber optic,Month-to-month,Yes,Electronic check,84.5,3906.7,0,No,Maduro (36m+),1,1.72,Alto,1,1,2028.0,0.6189616304890103,1,Medio
5948-UJZLF,Male,0,No,No,2,DSL,Month-to-month,No,Mailed check,49.25,97.0,0,No,Nuevo (0-12m),1,24.63,Bajo,1,0,1182.0,0.6893651494130236,1,Medio
7760-OYPDY,Female,0,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,80.65,144.15,1,Yes,Nuevo (0-12m),1,40.33,Bajo,1,1,1935.6,0.8539591194378415,1,Alto
7639-LIAYI,Male,0,No,No,52,DSL,Two year,Yes,Credit card (automatic),79.75,4217.8,0,No,Maduro (36m+),4,1.53,Alto,0,0,1914.0,0.057939050707424326,0,Bajo
2954-PIBKO,Female,0,Yes,Yes,69,DSL,Two year,Yes,Credit card (automatic),64.15,4254.1,0,No,Maduro (36m+),3,0.93,Alto,0,0,1539.6,0.04619044449763571,0,Bajo
8012-SOUDQ,Female,1,No,No,43,Fiber optic,Month-to-month,Yes,Electronic check,90.25,3838.75,0,No,Maduro (36m+),2,2.1,Alto,1,1,2166.0,0.6257163178444961,1,Medio
9420-LOJKX,Female,0,No,No,15,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,Yes,En desarrollo (13-36m),4,6.61,Medio,1,0,2378.4,0.726446344286932,1,Alto
6575-SUVOI,Female,1,Yes,No,25,DSL,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,No,En desarrollo (13-36m),3,2.78,Medio,1,0,1668.0,0.2541587717593349,0,Bajo
7495-OOKFY,Female,1,Yes,No,8,Fiber optic,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,Yes,Nuevo (0-12m),1,10.08,Medio,1,0,1935.6,0.8558477885357597,1,Alto
4667-QONEA,Female,1,Yes,Yes,60,DSL,One year,Yes,Credit card (automatic),74.85,4456.35,0,No,Maduro (36m+),5,1.25,Alto,0,0,1796.4,0.1248156972213283,0,Bajo
1658-BYGOY,Male,1,No,No,18,Fiber optic,Month-to-month,Yes,Electronic check,95.45,1752.55,1,Yes,En desarrollo (13-36m),2,5.3,Medio,1,1,2290.8,0.810966580405782,1,Alto
8769-KKTPH,Female,0,Yes,Yes,63,Fiber optic,One year,Yes,Credit card (automatic),99.65,6311.2,0,No,Maduro (36m+),3,1.58,Premium,0,0,2391.6,0.26264977430192094,0,Bajo
5067-XJQFU,Male,1,Yes,Yes,66,Fiber optic,One year,Yes,Electronic check,108.45,7076.35,0,No,Maduro (36m+),5,1.64,Premium,0,1,2602.8,0.3067985136607032,0,Bajo
3957-SQXML,Female,0,Yes,Yes,34,No,Two year,No,Credit card (automatic),24.95,894.3,0,No,En desarrollo (13-36m),0,0.73,Medio,0,0,598.8,0.042457263365626254,0,Bajo
5954-BDFSG,Female,0,No,No,72,Fiber optic,Two year,Yes,Credit card (automatic),107.5,7853.7,0,No,Maduro (36m+),4,1.49,Premium,0,0,2580.0,0.09263921716339643,0,Bajo
0434-CSFON,Female,0,Yes,No,47,Fiber optic,Month-to-month,Yes,Electronic check,100.5,4707.1,0,No,Maduro (36m+),3,2.14,Alto,1,1,2412.0,0.6534629909121922,1,Medio
1215-FIGMP,Male,0,No,No,60,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,No,Maduro (36m+),2,1.5,Premium,1,0,2157.6,0.33425782581729196,0,Bajo
0526-SXDJP,Male,0,Yes,No,72,DSL,Two year,No,Bank transfer (automatic),42.1,2962.0,0,No,Maduro (36m+),3,0.58,Alto,0,0,1010.4,0.03882556081061578,0,Bajo
0557-ASKVU,Female,0,Yes,Yes,18,DSL,One year,Yes,Credit card (automatic),54.4,957.1,0,No,En desarrollo (13-36m),2,3.02,Medio,0,0,1305.6,0.23293856068848143,0,Bajo
5698-BQJOH,Female,0,No,No,9,Fiber optic,Month-to-month,No,Electronic check,94.4,857.25,1,Yes,Nuevo (0-12m),2,10.49,Medio,1,1,2265.6,0.8342417338054383,1,Alto
5122-CYFXA,Female,0,No,No,3,DSL,Month-to-month,Yes,Electronic check,75.3,244.1,0,No,Nuevo (0-12m),4,25.1,Bajo,1,1,1807.2,0.6585167801767742,1,Medio
8627-ZYGSZ,Male,0,Yes,No,47,Fiber optic,One year,Yes,Electronic check,78.9,3650.35,0,No,Maduro (36m+),1,1.68,Alto,0,1,1893.6,0.2187497137961125,0,Bajo
3410-YOQBQ,Female,0,No,No,31,DSL,Two year,No,Mailed check,79.2,2497.2,0,No,En desarrollo (13-36m),5,2.55,Alto,0,0,1900.8,0.11980237294835383,0,Bajo
3170-NMYVV,Female,0,Yes,Yes,50,No,Two year,No,Bank transfer (automatic),20.15,930.9,0,No,Maduro (36m+),0,0.4,Medio,0,0,483.6,0.013651909112698328,0,Bajo
7410-OIEDU,Male,0,No,No,10,Fiber optic,Month-to-month,Yes,Mailed check,79.85,887.35,0,No,Nuevo (0-12m),2,7.98,Medio,1,0,1916.4,0.6879517271610689,1,Medio
2273-QCKXA,Male,0,No,No,1,DSL,Month-to-month,No,Mailed check,49.05,49.05,0,No,Nuevo (0-12m),1,49.05,Bajo,1,0,1177.2,0.6821598192056498,1,Medio
0731-EBJQB,Female,0,Yes,Yes,52,No,One year,Yes,Electronic check,20.4,1090.65,0,No,Maduro (36m+),0,0.39,Medio,0,1,489.6,0.016815622131581474,0,Bajo
1891-QRQSA,Male,1,Yes,Yes,64,Fiber optic,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,No,Maduro (36m+),5,1.74,Premium,0,0,2678.4,0.21204019297066268,0,Bajo
8028-PNXHQ,Male,0,Yes,Yes,62,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,No,Maduro (36m+),0,0.39,Medio,0,0,582.0,0.007376688401915895,0,Bajo
5630-AHZIL,Female,0,No,Yes,3,DSL,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,No,Nuevo (0-12m),3,21.5,Bajo,1,0,1548.0,0.4245409006342144,0,Medio
2673-CXQEU,Female,1,No,No,56,Fiber optic,One year,No,Electronic check,110.5,6139.5,0,No,Maduro (36m+),5,1.97,Premium,0,1,2652.0,0.39145663722668966,0,Bajo
6416-JNVRK,Female,0,No,No,46,DSL,One year,No,Credit card (automatic),55.65,2688.85,0,No,Maduro (36m+),1,1.21,Alto,0,0,1335.6,0.14017204264425165,0,Bajo
5590-ZSKRV,Female,0,Yes,Yes,8,DSL,Month-to-month,No,Mailed check,54.65,482.25,0,No,Nuevo (0-12m),2,6.83,Bajo,1,0,1311.6,0.36451027663557645,0,Bajo
0191-ZHSKZ,Male,1,No,No,30,DSL,Month-to-month,Yes,Electronic check,74.75,2111.3,0,No,En desarrollo (13-36m),4,2.49,Alto,1,1,1794.0,0.3936344613231868,0,Bajo
3887-PBQAO,Female,0,Yes,Yes,45,No,One year,Yes,Credit card (automatic),25.9,1216.6,0,No,Maduro (36m+),0,0.58,Medio,0,0,621.6,0.04670447378391999,0,Bajo
5919-TMRGD,Female,0,No,Yes,1,Fiber optic,Month-to-month,Yes,Electronic check,79.35,79.35,1,Yes,Nuevo (0-12m),1,79.35,Bajo,1,1,1904.4,0.9333688442878032,1,Alto
8108-UXRQN,Female,0,Yes,Yes,11,DSL,Month-to-month,No,Electronic check,50.55,565.35,0,No,Nuevo (0-12m),3,4.6,Medio,1,1,1213.2,0.3898156446139124,0,Bajo
9191-MYQKX,Female,0,Yes,No,7,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,Yes,Nuevo (0-12m),1,10.74,Bajo,1,0,1803.6,0.8135687952343241,1,Alto
9919-YLNNG,Female,0,No,No,42,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,No,Maduro (36m+),5,2.47,Alto,1,0,2491.2,0.5378723832968512,1,Medio
0318-ZOPWS,Female,0,Yes,No,49,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,No,Maduro (36m+),0,0.41,Medio,0,0,483.6,0.01204115020975308,0,Bajo
4445-ZJNMU,Male,0,No,No,9,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,No,Nuevo (0-12m),3,11.03,Medio,1,0,2383.2,0.8788334713218576,1,Alto
4808-YNLEU,Female,0,Yes,No,35,DSL,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,No,En desarrollo (13-36m),2,1.78,Alto,0,0,1491.6,0.13778975794614032,0,Bajo
1862-QRWPE,Female,0,Yes,Yes,48,No,Two year,No,Bank transfer (automatic),20.65,1057.0,0,No,Maduro (36m+),0,0.43,Medio,0,0,495.6,0.031241940368625043,0,Bajo
2796-NNUFI,Female,0,Yes,Yes,46,No,Two year,Yes,Mailed check,19.95,927.1,0,No,Maduro (36m+),0,0.43,Medio,0,0,478.8,0.005608775289897108,0,Bajo
3016-KSVCP,Male,0,Yes,No,29,DSL,Month-to-month,No,Mailed check,33.75,1009.25,0,No,En desarrollo (13-36m),1,1.16,Medio,1,0,810.0,0.26620197416358143,0,Bajo
4767-HZZHQ,Male,0,Yes,Yes,30,Fiber optic,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,No,En desarrollo (13-36m),2,2.73,Alto,1,0,1969.2,0.44264467330559526,0,Medio
2424-WVHPL,Male,1,No,No,1,Fiber optic,Month-to-month,No,Electronic check,74.7,74.7,0,No,Nuevo (0-12m),1,74.7,Bajo,1,1,1792.8,0.8131606879799077,1,Alto
7233-PAHHL,Male,0,Yes,Yes,66,DSL,Two year,Yes,Mailed check,84.0,5714.25,0,No,Maduro (36m+),5,1.27,Premium,0,0,2016.0,0.04294962633197285,0,Bajo
6067-NGCEU,Female,0,No,No,65,Fiber optic,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,No,Maduro (36m+),5,1.71,Premium,1,0,2665.2,0.2622390612834189,0,Bajo
9848-JQJTX,Male,0,No,No,72,Fiber optic,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,No,Maduro (36m+),4,1.4,Premium,0,0,2421.6,0.09542238864669672,0,Bajo
8637-XJIVR,Female,0,No,No,12,Fiber optic,Month-to-month,Yes,Electronic check,78.95,927.35,1,Yes,Nuevo (0-12m),1,6.58,Medio,1,1,1894.8,0.7578006005742326,1,Alto
9803-FTJCG,Male,0,Yes,Yes,71,DSL,One year,Yes,Credit card (automatic),66.85,4748.7,0,No,Maduro (36m+),3,0.94,Alto,0,0,1604.4,0.08097504648399426,0,Bajo
0278-YXOOG,Male,0,No,No,5,No,Month-to-month,No,Mailed check,21.05,113.85,1,Yes,Nuevo (0-12m),0,4.21,Bajo,1,0,505.2,0.3071912543374619,0,Bajo
3212-KXOCR,Male,0,No,No,52,No,Two year,No,Bank transfer (automatic),21.0,1107.2,0,No,Maduro (36m+),0,0.4,Medio,0,0,504.0,0.03688498189703562,0,Bajo
4598-XLKNJ,Female,1,Yes,No,25,Fiber optic,Month-to-month,Yes,Electronic check,98.5,2514.5,1,Yes,En desarrollo (13-36m),4,3.94,Alto,1,1,2364.0,0.8088612421479191,1,Alto
6380-ARCEH,Male,0,No,No,1,No,Month-to-month,No,Mailed check,20.2,20.2,0,No,Nuevo (0-12m),0,20.2,Bajo,1,0,484.8,0.6106304003037709,1,Medio
3679-XASPY,Female,0,Yes,Yes,1,No,Month-to-month,No,Electronic check,19.45,19.45,0,No,Nuevo (0-12m),0,19.45,Bajo,1,1,466.8,0.5544388345315414,1,Medio
7123-WQUHX,Male,0,No,No,38,Fiber optic,One year,No,Bank transfer (automatic),95.0,3605.6,0,No,Maduro (36m+),3,2.5,Alto,0,0,2280.0,0.1822511503972088,0,Bajo
5386-THSLQ,Female,1,Yes,No,66,DSL,One year,No,Bank transfer (automatic),45.55,3027.25,0,No,Maduro (36m+),3,0.69,Alto,0,0,1093.2,0.08300856154821686,0,Bajo
3192-NQECA,Male,0,Yes,No,68,Fiber optic,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,Yes,Maduro (36m+),5,1.62,Premium,0,0,2640.0,0.3633420943842032,0,Bajo
6180-YBIQI,Male,0,No,No,5,DSL,Month-to-month,No,Mailed check,24.3,100.2,0,No,Nuevo (0-12m),0,4.86,Bajo,1,0,583.2,0.43700323547024633,0,Medio
6728-DKUCO,Female,0,Yes,Yes,72,Fiber optic,One year,Yes,Electronic check,104.15,7303.05,0,No,Maduro (36m+),4,1.45,Premium,0,1,2499.6,0.19836757917688305,0,Bajo
9750-BOOHV,Female,0,No,No,32,DSL,One year,No,Mailed check,30.15,927.65,0,No,En desarrollo (13-36m),1,0.94,Medio,0,0,723.6,0.11636156815314357,0,Bajo
8597-CWYHH,Male,0,No,No,43,Fiber optic,One year,No,Mailed check,94.35,3921.3,0,No,Maduro (36m+),2,2.19,Alto,0,0,2264.4,0.23915565179605786,0,Bajo
2848-YXSMW,Male,0,Yes,Yes,72,No,Two year,No,Credit card (automatic),19.4,1363.25,0,No,Maduro (36m+),0,0.27,Medio,0,0,465.6,0.008335215139579693,0,Bajo
0486-HECZI,Male,0,Yes,No,55,Fiber optic,Month-to-month,Yes,Electronic check,96.75,5238.9,1,Yes,Maduro (36m+),3,1.76,Premium,1,1,2322.0,0.6456177080102588,1,Medio
4549-ZDQYY,Female,0,No,No,52,DSL,One year,No,Credit card (automatic),57.95,3042.25,0,No,Maduro (36m+),3,1.11,Alto,0,0,1390.8,0.12136301201925674,0,Bajo
5712-AHQNN,Female,0,No,No,43,Fiber optic,Month-to-month,Yes,Electronic check,91.65,3954.1,0,No,Maduro (36m+),3,2.13,Alto,1,1,2199.6,0.567486182057378,1,Medio
4846-WHAFZ,Female,1,Yes,No,37,Fiber optic,Month-to-month,Yes,Electronic check,76.5,2868.15,1,Yes,Maduro (36m+),0,2.07,Alto,1,1,1836.0,0.6442409370998459,1,Medio
5256-SKJGO,Female,0,Yes,Yes,64,DSL,Two year,Yes,Electronic check,54.6,3423.5,0,No,Maduro (36m+),4,0.85,Alto,0,1,1310.4,0.12544973293251616,0,Bajo
3071-VBYPO,Male,0,Yes,Yes,3,Fiber optic,Month-to-month,No,Electronic check,89.85,248.4,0,No,Nuevo (0-12m),3,29.95,Bajo,1,1,2156.4,0.7860388392852465,1,Alto
9560-BBZXK,Female,0,No,No,36,DSL,Two year,No,Bank transfer (automatic),31.05,1126.35,0,No,En desarrollo (13-36m),1,0.86,Medio,0,0,745.2,0.06049485411373191,0,Bajo
5299-RULOA,Female,0,Yes,Yes,10,Fiber optic,Month-to-month,Yes,Electronic check,100.25,1064.65,1,Yes,Nuevo (0-12m),3,10.03,Medio,1,1,2406.0,0.8769492348453425,1,Alto
8402-OOOHJ,Female,0,No,No,41,No,Two year,No,Mailed check,20.65,835.15,0,No,Maduro (36m+),0,0.5,Medio,0,0,495.6,0.007927469362649932,0,Bajo
9445-ZUEQE,Male,0,Yes,Yes,27,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,No,En desarrollo (13-36m),2,3.16,Alto,1,0,2044.8,0.5596759877372222,1,Medio
1091-SOZGA,Female,0,Yes,Yes,56,Fiber optic,One year,Yes,Credit card (automatic),99.8,5515.45,0,No,Maduro (36m+),3,1.78,Premium,0,0,2395.2,0.3400251393368147,0,Bajo
2928-HLDBA,Female,0,No,No,6,No,Month-to-month,No,Mailed check,20.7,112.75,0,No,Nuevo (0-12m),0,3.45,Bajo,1,0,496.8,0.19670140985657408,0,Bajo
0404-SWRVG,Male,0,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,74.4,229.55,1,Yes,Nuevo (0-12m),0,24.8,Bajo,1,1,1785.6,0.8417770773497071,1,Alto
6497-TILVL,Female,0,Yes,Yes,7,DSL,Month-to-month,No,Mailed check,50.7,350.35,0,No,Nuevo (0-12m),1,7.24,Bajo,1,0,1216.8,0.4335399059002073,0,Medio
7219-TLZHO,Female,0,Yes,Yes,4,No,Month-to-month,No,Mailed check,20.85,62.9,0,No,Nuevo (0-12m),0,5.21,Bajo,1,0,500.4,0.25103449717951587,0,Bajo
4622-YNKIJ,Male,0,No,No,33,Fiber optic,Two year,Yes,Electronic check,88.95,3027.65,0,No,En desarrollo (13-36m),3,2.7,Alto,0,1,2134.8,0.2584700597539745,0,Bajo
4412-YLTKF,Female,1,No,No,27,Fiber optic,Month-to-month,Yes,Electronic check,78.05,2135.5,1,Yes,En desarrollo (13-36m),1,2.89,Alto,1,1,1873.2,0.6655390171532055,1,Medio
6734-PSBAW,Male,0,Yes,No,72,No,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,No,Maduro (36m+),0,0.33,Medio,0,0,565.2,0.006905739790232487,0,Bajo
3930-ZGWVE,Male,0,No,No,1,No,Month-to-month,No,Mailed check,19.75,19.75,0,No,Nuevo (0-12m),0,19.75,Bajo,1,0,474.0,0.5711876046406968,1,Medio
2639-UGMAZ,Male,1,No,No,71,DSL,One year,Yes,Electronic check,56.45,3985.35,0,No,Maduro (36m+),4,0.8,Alto,0,1,1354.8,0.15528372850429206,0,Bajo
2876-GZYZC,Female,0,No,No,13,Fiber optic,Month-to-month,Yes,Electronic check,85.95,1215.65,0,No,En desarrollo (13-36m),1,6.61,Medio,1,1,2062.8,0.8069715003329742,1,Alto
6207-WIOLX,Female,0,Yes,Yes,25,DSL,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,Yes,En desarrollo (13-36m),5,2.34,Medio,1,0,1406.4,0.3942846057010142,0,Bajo
8587-XYZSF,Male,0,No,No,67,DSL,Two year,No,Bank transfer (automatic),50.55,3260.1,0,No,Maduro (36m+),1,0.75,Alto,0,0,1213.2,0.045257188647011365,0,Bajo
3091-FYHKI,Male,0,No,No,1,DSL,Month-to-month,Yes,Electronic check,35.45,35.45,1,Yes,Nuevo (0-12m),1,35.45,Bajo,1,1,850.8,0.8375012204149066,1,Alto
2372-HWUHI,Male,0,No,No,2,DSL,Month-to-month,No,Electronic check,44.35,81.25,1,Yes,Nuevo (0-12m),0,22.18,Bajo,1,1,1064.4,0.746932417590415,1,Alto
